Ingredient	Count in HER
Pav	1610
Pav (bread rolls)	0
Pav bhaji masala	0
Payasam	1
Peach	48029
Peach blossoms	0
Peach cobbler	238
Peaches	57917
Peanut	195911
Peanut butter	154958
Peanut cake	5
Peanut oil	5538
Peanut powder	19765
Peanut sauce	284
peanuts	105971
Pear	50114
Pearl barley	11
Pearl onions	14
Pearl sugar	0
Pears	40292
Peas	136449
pecans	19175
Pecorino cheese	9
Pecorino Romano	5
Pecorino Romano cheese	2
Pectin	3956
Penne	1371
Pennywort	0
Peperone di Senise	0
Peperoni cruschi	0
pepper	53478
peppercorns	181
Peppermint extract	562
Peppermint oil	10250
Pepperoncini peppers	4
Pepperoni	17377
Pepperoni (optional)	0
peppers	58914
peri-peri sauce	0
Perilla	244
perilla leaves	0
Perilla seeds	2
Periwinkle	151
Pernod	3
Persimmons	698
Pesto	2712
Petai	0
Phanaeng curry paste	0
Pheasant	2550
Phyllo dough	22
Pickle	16239
pickle relish	264
Pickle spear	68
Pickled bamboo shoots	0
pickled carrots	20
Pickled chilies	0
Pickled cucumbers	23
Pickled daikon	3
pickled ginger	35
Pickled green beans	6
Pickled herring	535
Pickled mustard greens	0
Pickled onions	31
Pickled pork rinds	0
Pickled radish	10
Pickled vegetables	240
pickles	22020
Pickling spices	1
Pico de gallo	266
Pie	27170
pie crust	1461
Pig blood	4
Pig fallopian tubes	0
Pig's blood	3
Pig's brain	1
Pig's ears	0
Pig's face	2
Pig's intestines	0
Pig's liver	0
pig's skin	0
Pigeon	19579
Pigeon peas	282
Pilchards	6
Pili nuts	3
Piloncillo	0
Piloncillo (unrefined whole cane sugar)	0
Pimento berries	0
Pimento peppers	1
Pimentos	14
Pimienta	41
Pimientos de Padrón	0
pine nuts	8912
Pineapple	54404
Pineapple chunks	147
Pineapple filling	1
pineapple juice	4759
Pineapple Juice from Concentrate (10%)	0
Pineapple slices	49
pineapple tidbits	140
Pinipig	0
Pink food coloring	1
Pink icing	11
Pink peppercorn	8
Pista	14
Pistachio	16641
Pistachio ice cream	54
Pistachio pudding mix	2
Pistachios	18219
Pistachios or walnuts	27
Pita bread	24678
Pizza dough	381
Pizza Rossini	0
Pizza sauce	1125
Placenta	118195
Plain flour	7
Plantain	9162
Plantain curry	3
plantains	675
Plum	32447
Plum jam	5
Plums	16918
Poached eggs	923
Poblano peppers	27
Pointed Gourd	2
Polish sausage	577
polony	1
Pomegranate juice	1283
Pomegranate molasses	2
Pomegranate paste	1
Pomegranate seeds	168
pomelo	601
Popcorn	218583
Popcorn kernels	202
Poppy seed	6474
Poppy seed bun	2
Poppy seeds	622
pork	89186
Pork al pastor	1
pork belly	77
pork blood	5
Pork blood cubes	0
Pork bone broth	3
Pork bones	15
Pork brain	1
Pork butt	33
Pork casing	3
Pork casings	1
Pork cheeks	0
Pork chop	5643
Pork chops	8778
Pork crackle	0
Pork crackles	0
Pork cracklin	0
Pork crackling	0
Pork cracklings	3
Pork cracklins	0
Pork cutlet	42
Pork cutlets	30
Pork ears	0
Pork fat	47
Pork feet	4
Pork flank	1
Pork floss	0
Pork Gelatine	1
Pork ham	2890
Pork head	1
Pork heart	2
Pork hock	1
Pork hocks	4
Pork intestine	2
pork intestines	11
Pork jowl	1
Pork jowls	0
Pork kidney	6
Pork kidneys	0
Pork knuckles	1
Pork lard	6
Pork leg	3
Pork liver	46
Pork loin	3149
Pork lungs	1
pork meat	141
Pork meat (such as pork shoulder, ribs, and sausage)	0
Pork neck	13
Pork neck bones	9
Pork offal	0
Pork organs	0
Pork ribs	383
Pork rind	54
Pork rinds	977
Pork sausage	764
Pork sausage meat	1
Pork sausages	52
Pork shank	5
Pork shoulder	756
Pork sirloin	44
Pork skin	33
Pork slices	3
Pork snout	0
Pork snouts	0
Pork tail	0
Pork tenderloin	3486
Pork tongue	1
Pork tripe	0
Pork trotters	0
Port wine	4678
Portuguese sausage	1
Potassium carbonate	112
Potassium chloride	236946
Potassium citrate	7599
Potassium iodide	1657
Potassium nitrate	82
Potassium phosphate	13437
Potassium sorbate	210
potato	124909
Potato chips	43633
Potato flakes	70
Potato flour	1324
Potato starch	558
potatoes	171645
Powdered milk	3222
powdered sugar	379
Powdered sugar for dusting	0
Prahok	0
Prawn	59
Prawn fritters	0
Prawns	182
Preservative (E250)	0
Preservative (potassium sorbate)	2
Preservatives	29252
Preserved lemon	1
Preserved radish	0
Pretzels	46713
Prosciutto	184
Protein (chicken, beef, shrimp, tofu)	0
Protein (chicken, shrimp, or tofu)	0
Protein (e.g. chicken, beef, tofu)	0
Protein (meat, fish, eggs, etc.)	2
Protein (such as chicken, beef, or tofu)	0
Protein (such as chicken, beef, pork, shrimp, or tofu)	0
Protein (such as chicken, beef, shrimp, or tofu)	0
Protein (such as chicken, beef, shrimp, tofu)	0
Protein (such as chicken, beef, tofu)	0
Protein (such as chicken, fish, or lentils)	0
Protein (such as chicken, pork, or shrimp)	0
Protein (such as chicken, shrimp, or tofu)	0
Protein powder	21238
Provel cheese	0
provolone cheese	558
prunes	55580
puff pastry	50
Puff pastry dough	0
Puff pastry sheets	0
Puffed rice	1227
Puha	0
Pulisseri	0
Pulses	1380771
Pulverized grains	0
Pumpkin	32169
pumpkin pie	3475
Pumpkin pie spice	1841
Pumpkin preserve	0
Pumpkin puree	155
Pumpkin seeds	10325
Punsch liqueur	0
Puri	1858
Puris	4
Purple cabbage	91
Purple food coloring	409
Purple yam	4
Pyridoxine hydrochloride	350
Quail eggs	38
Quark	78
Queso blanco	3822
Queso duro	2
Queso fresco	3856
Queso fresco (fresh cheese)	0
Quetsche plums	0
Quetschentaart	0
Quicklime	3
Quince	351
Quince, sugar, water, lemon juice, cloves, cinnamon	0
Quinces	4
Quinoa	28971
Rabbit	14523
Radiatori	1
Radicchio	1052
radish	1914
Radish concentrate	0
Radish leaves	1
Radishes	9989
Ragi flour	2
Raising agents	16
Raising agents (ammonium bicarbonate, sodium bicarbonate)	0
Raising Agents (Sodium Bicarbonate, Ammonium Bicarbonate)	0
raisins	49301
Ramen noodles	6348
Rampe	16
Ranch dressing	8564
Rapeseed oil	46
Ras el hanout	2
Rasam	5
Rasam powder	0
raspberries	37160
Raspberry Flavored Apple Jam	0
Raspberry jam	171
Raspberry sauce	13
Raspberry sorbet	75
Rava	103
Rava (semolina)	0
Ravioli	6005
Raw Banana	130
Raw egg yolk	18
Raw fish	4078
Raw fish (such as tuna or salmon)	0
Raw mango	30
Raw mangoes	5
Raw papaya	0
Raw plantain	0
Raw plantains	1
Raw rice	42
Reblochon cheese	0
Recao	0
Red 3	4231
Red 40	526
Red 40 Lake	35
Red ants	276
Red BBQ pork	0
Red bean paste	39
Red beans	3701
Red bell pepper	1542
Red bell peppers	381
Red cabbage	664
Red cabbage slaw	1
Red candy sprinkles	0
Red chili	96
Red chili flakes	5
Red chili paste	2
Red chili pepper	5
Red chili pepper flakes	0
Red chili pepper paste	0
Red chili pepper powder	0
red chili peppers	9
Red chili powder	11
Red chili sauce	1
Red chilies	9
Red chillies	2
Red cowpeas	0
Red currant jelly	37
Red currants	10
Red curry paste	3
red dates	7
red food coloring	1512
Red kidney beans	454
Red leaves of the sorghum plant	0
Red lentils	127
Red onion	837
Red onions	310
Red palm oil	7
Red peaches	1
red pepper	3586
red pepper flakes	127
Red pepper paste	7
Red pepper powder	4
Red peppers	1939
Red salsa	7
Red sauce	3852
Red snapper	109
Red syrup	18
Red wine	35700
Red wine vinaigrette dressing	5
Red wine vinegar	351
Redcurrants	0
Reduced iron	1098
refried beans	5039
reindeer meat	0
Relish	9785
Remoulade	3
Remoulade sauce	2
Rendang	0
Rendered fat	1
Rennet	111
Rfissa dough	0
Rhizopus oligosporus	0
Rhubarb	29352
Riboflavin	25057
Riboflavin (B2)	1168
Ribs	262162
rice	382957
Rice bubbles	0
Rice cake	2493
Rice cakes	3646
Rice cereal	60592
Rice crackers	2742
Rice crispies	571
Rice flour	1183
Rice husk	64
Rice Krispies	6229
Rice Krispies cereal	161
Rice noodle rolls	0
Rice noodles	3770
Rice or barley	31
Rice or orzo pasta	0
Rice paddy herb	0
rice paper	48
Rice paper wrappers	0
Rice syrup	194
Rice vermicelli	6
Rice vermicelli noodles	1
Rice vinegar	109
Rice wine	136
Ricotta	31782
Ricotta cheese	29668
Ricotta Salata	0
Rigatoni	125
Ripe banana	1841
Ripe bananas	1406
Ripe mango	18
Ripe plantains	1
Ritz crackers	3229
River reed	0
roast beef	8373
Roast pork	241
Roasted	28709
Roasted barley flour	0
Roasted chana dal	0
Roasted cumin powder	1
Roasted grains	2
Roasted green chilies	0
Roasted green pepper	0
roasted peanuts	527
Roasted red peppers	390
Roasted rice flakes	0
Roasted sesame seeds	3
Roasted sunflower seeds	13
rock sugar	6
Rocket leaves	1
Roll	397379
Rolled oats	1310
Romaine lettuce	6069
Romano cheese	54
Root vegetables	686
Rose hips	1551
Rose petals	31
Rose syrup	3
Rose water	128
Roselle	3747
Roselle petals	0
Rosemary	19906
Rosewater	57
Rotelle	10
Roti	636
Roti skin	0
Round steak	70
Roux	29179
Rub	825234
Ruby chocolate	0
Rum	8761
Rươi worms	0
Rusk	505
Russian dressing	160
Rutabaga	8454
Rye bread	4837
Rye dough	0
Rye flour	148
Rye malt	270
Saba banana	1
Saba bananas	0
Sable	10601
Sabudana	1
Safflower concentrate	0
Saffron	1364
Saffron strands	0
Saffron threads	0
Saganaki	24
sage	25736
Sage leaves	9
Sago	618
sago pearls	0
Sago starch	0
sake	26237
Sal	85927
Salad	167728
Salami	17830
Salep	3
Salmon	103911
salsa	24659
Salsa de tomate	43
Salsa Lizano	0
Salsa verde	43
salt	515800
Salt beef	15
Salt cod	1
Salt pork	303
Salt to taste	754
Salted beef	4
Salted cod	3
Salted egg	2
Salted egg yolk	1
Salted fish	33
Salted herring	5
Salted meat	137
Salted pork	26
Salted seafood	1
Salted vegetables	11
Saltfish	1
Saltine crackers	23732
Saltpeter	4
Sambal	5
Sambal (chili paste)	0
Sambal Balado	0
Sambal belacan	0
Sambal chili paste	0
Sambal goreng	0
Sambal Hijau	0
Sambal Ijo	0
Sambal Lado Mudo	0
Sambal Merah	0
Sambalado	0
Sambals	0
Sambar	27
Sambar powder	0
Sambol	0
samp	601
San Marzano tomatoes	1
Sandwich roll	53
Santol	5
Sapote	0
Sardines	48657
Saskatoon berries	3
Sate	1953
Satkara	0
Sattu (roasted gram flour)	0
Sauce	103321
Sauce (e.g. salsa, guacamole, ranch)	0
Sauce (usually mayonnaise or ketchup)	0
Sauce Mix	23
Sauces	38088
Sauerkraut	12726
sausage	64136
Sausage casing	117
Sausage meat	58
Sausages	15251
Sautéed anchovies	0
Sautéed bacon	0
Sautéed basil	0
Sautéed bay	0
Sautéed bay leaves	0
Sautéed beef	1
Sautéed bell peppers	7
Sautéed butter	0
Sautéed cabbage	1
Sautéed calamansi juice	0
Sautéed cardamom	0
Sautéed carrots	1
Sautéed catfish	0
Sautéed chili peppers	0
Sautéed chili powder	0
Sautéed chives	0
Sautéed cilantro	0
Sautéed cinnamon	0
Sautéed clams	0
Sautéed cloves	0
Sautéed coconut milk	0
Sautéed coriander	0
Sautéed corn	0
Sautéed crab	0
Sautéed cumin	0
Sautéed curry powder	0
Sautéed dill	0
Sautéed fennel	0
Sautéed fenugreek	0
Sautéed fish	0
Sautéed fish sauce	0
Sautéed galangal	0
Sautéed garam masala	0
Sautéed garlic	0
Sautéed ginger	0
Sautéed green beans	2
Sautéed ham	0
Sautéed hard-boiled eggs	0
Sautéed hoisin sauce	0
Sautéed kaffir lime leaves	0
Sautéed lard	0
Sautéed lemongrass	0
Sautéed liver	0
Sautéed lobster	0
Sautéed mackerel	0
Sautéed margarine	0
Sautéed marjoram	0
Sautéed mint	0
Sautéed MSG	0
Sautéed mussels	0
Sautéed mustard seeds	0
Sautéed nutmeg	0
Sautéed octopus	0
sautéed onions	10
Sautéed oregano	0
Sautéed oyster sauce	0
Sautéed oysters	0
Sautéed palm oil	0
Sautéed paprika	0
Sautéed parsley	0
Sautéed peanuts	0
Sautéed peas	0
Sautéed pepper	0
Sautéed peppercorns	0
Sautéed pork	0
Sautéed raisins	0
Sautéed rosemary	0
Sautéed sage	0
Sautéed salmon	0
Sautéed salt	0
Sautéed sardines	0
Sautéed sausage	1
Sautéed scallions	0
Sautéed shrimp	5
Sautéed shrimp paste	0
Sautéed soy sauce	0
Sautéed squid	0
Sautéed star anise	0
Sautéed sugar	0
Sautéed tamarind	0
Sautéed thyme	0
Sautéed tilapia	0
Sautéed tomatoes	0
Sautéed tuna	0
Sautéed turmeric	0
Sautéed vegetable oil	0
Sautéed vinegar	0
Sazon	5
Sazon seasoning	1
Scallion	2550
Scallion oil	0
scallions	7404
Scallops	9506
Schezwan sauce	2
Schmaltz	4550
Scones	1318
Scotch bonnet pepper	1
Scotch bonnet peppers	1
Scrambled eggs	45815
Scrod	33
Sea cucumber	52
Sea salt	8203
Seafood	64219
Seafood (optional)	0
Seafood (such as shrimp, clams, mussels, or squid)	0
Seafood (such as shrimp, clams, or fish)	0
Seafood (such as shrimp, crab, or mussels)	0
Seafood (such as shrimp, fish balls, or squid)	0
Seafood (such as shrimp, mussels, and squid)	0
Seafood (such as squid, shrimp, and scallops)	0
Seal fat	1
Seal meat	1
Seal oil	6
Seal skin	237
Seasoned soy sauce	0
seasoning	18158
Seasoning (Red Pepper Powder, Soy Sauce Powder, Garlic Powder, Onion Powder)	0
Seasoning cubes	0
Seasoning Mix	99
Seasoning peppers	5
seasonings	16845
Seaweed	17264
Seaweed flakes	3
Seeds	210373
Sel gris	0
Self-raising flour	0
Semi-sweet chocolate	82
Semi-Sweet Chocolate (Sugar, Chocolate, Cocoa Butter, Soy Lecithin - an Emulsifier, Vanillin - an Artificial Flavor)	0
Semi-sweet chocolate chips	58
Semolina	6176
Semolina flour	2217
Serrano chilies	0
Serrano ham	0
Serrano peppers	9
Serunding	0
sesame oil	6060
sesame paste	82
Sesame seed	5668
Sesame seed bun	37
sesame seeds	5474
Sev	24571
Seville orange zest	0
Seville Oranges	6413
Sha cha sauce	0
Shacha sauce	0
Shaki	96
Shallot	73
shallots	5718
Shanklish	0
Shaoxing wine	0
Shark fin	35
Shark meat	2
shaved ice	91
Shea oil	14
Sheep's head	0
Sheep's heart	2
Sheep's milk	142
Sheep's sorrel	2
Shellfish	114329
Sherry	167151
Sherry or Madeira wine	0
Sherry pepper sauce	0
Sherry Vinegar	3
shiitake mushrooms	114
Shikwasa juice	0
Shimeji mushrooms	7
Shirataki noodles	110
Shirokuma	0
Shiso leaves	0
Shitake mushrooms	92
Short grain rice	10
Short-grain rice	10
Shortbread	3840
Shortcrust pastry	0
Shortcrust pastry dough	0
Shortening	175170
Shredded beef	152
Shredded cabbage	1458
Shredded carrots	1230
Shredded cheese	5785
Shredded chicken	1380
Shredded coconut	3757
Shredded green beans	1
Shredded lettuce	210
Shredded meat (usually beef or chicken)	0
Shredded nori seaweed	0
Shredded phyllo dough	0
Shredded pork	85
Shredded pork skin	0
Shredded smoked fish	0
Shredded squid	1
shredded vegetables	33
shrimp	59600
Shrimp crackers	7
shrimp paste	31
Shrimp roe	0
Shrimps	567
Sichuan pepper	1
Sichuan peppercorns	1
Sili peppers	0
Silicon dioxide	458
Silkworm pupae	0
Silver dragees	0
Silver leaves	0
Simit	6
Simple syrup	171
Skewered fruits	0
Skewers	213
Skim Milk	51468
Skimmed milk powder	18
Skimmed milk powder (6.6%)	0
Skirt steak	86
Skirts	21824
Skyr	85
sliced bologna	7
Sliced bread	198
sliced cheese	527
sliced ham	220
sliced hotdogs	0
Sliced meat	60
sliced rice cakes	1
Slider buns	24
Small sausages	39
Smoke	1144096
Smoked bacon	18
Smoked fish	291
Smoked haddock	0
Smoked herring	9
Smoked meat	196
Smoked pork belly	0
Smoked pork ribs	4
Smoked salmon	1402
Smoked sausage	410
Smoked skipjack tuna	0
Smoker	1194825
Smoking process	24
Snails	421
Snake gourd	2
Snap peas	5425
Snickers bars	203
Snow	140015
Snow fungus	0
Snow peas	3850
soaked rice	4
Soba noodles	167
Soda water	6780
Sodium alginate	1307
Sodium Benzoate and Potassium Sorbate (Preservatives)	0
Sodium bicarbonate	84835
Sodium carbonate	258
Sodium caseinate	64
Sodium citrate	12902
Sodium erythorbate	1577
Sodium hexametaphosphate	8
Sodium nitrate	212
Sodium nitrite	1626
Sodium phosphate	57756
Sodium pyrophosphate	9
Sodium selenite	44
Sodium tripolyphosphate	14
Sofrito	7
Soft pretzel	490
Soft-boiled egg	235
Softeners	195863
soju	36
Sole	373997
Sōmen	0
Somen noodles	8
Sōmen noodles	0
Sorbic Acid	857
Sorbitol	26998
Sorghum	4616
Sorrel	800
Sorrel leaves	0
Soup mandels	0
Soup nuts	31
Sour cherries	29
Sour cream	30090
Sour plums	0
Soy flour	398
Soy grits	40
Soy lecithin	2432
Soy milk	93983
Soy oil	770
Soy protein	6129
soy sauce	15609
Soya flour	323
soya lecithin	116
Soybean	20754
Soybean oil	5200
soybean paste	24
soybean sprouts	4
soybeans	59291
spaghetti	64533
Spaghetti noodles	1442
Spam	12303
Spanakopita	22
Spare ribs	634
Sparkling wine	58
Spätzle	0
Spearmint	1881
Special sauce	33
Speculaas spice blend	0
Speculaas spices	0
Speculoos cookies	0
Spice	26031
spice cake mix	1
Spice extract	6
Spiced water	0
spices	41549
Spices (black pepper, parsley, celery seed, basil, bay, marjoram, oregano, thyme, cayenne pepper, coriander, cumin, mustard, rosemary)	0
Spices (such as cinnamon, cloves, nutmeg)	0
Spices (such as cinnamon, nutmeg, and cloves)	0
Spices (such as cinnamon, nutmeg, cloves, ginger)	0
Spices (such as paprika, cayenne pepper)	0
Spicy mayo	49
Spicy peanut sauce	2
Spicy sauce	158
Spicy tomato sauce	24
Spicy tuna mixture	0
spinach	124446
Spirit Vinegar	1
Spirulina concentrate	0
spleen	552385
Split black gram	1
Split peas	19923
Split pigeon peas	2
Split yellow lentils	0
Split yellow moong dal	0
Sponge cake	1198
Sport peppers	0
Spread (butter, mayonnaise, etc.)	0
Spreads	188762
Spring onions	87
Spring roll wrappers	0
Sprinkles	8537
Sprite	81677
Sprouted grains	71
Sprouted Moong Beans	0
Sprouted moth beans	0
Squab	15
squash	73663
Squash blossoms	1
squid	1376
Squid ink	14
Sriracha	196
Sriracha mayo	8
Ssamjang (dipping sauce)	0
Stabilisers	14
Stabilisers (Locust Bean Gum, Guar Gum, Carrageenan)	0
Stabilizer	32285
Stabilizers	32621
star anise	40
Star fruit	6616
starch	44262
Starches	28869
Starter (wild yeast culture)	0
Starter culture	60
steak	51192
Steamed egg meatloaf	0
Steamed milk	32
Steamed or toasted hot dog bun	0
Steamed rice	208
Steel-cut oats	4312
Stelline	0
Sticky rice	194
Stingray	188
Stir-fried meat	12
Stir-fried vegetables	328
Stock	154429
Stock cubes	17
Stockfish	1
Straw mushrooms	0
strawberries	68392
Strawberry	59780
Strawberry ice cream	227
Strawberry jam	1964
Strawberry sauce	31
string beans	4595
Stuffed grape leaves	129
Stuffing	6831
Submarine sandwich bread	0
suet	61
sugar	583384
Sugar (optional)	4
Sugar beans	35
Sugar cane	666
Sugar cane juice	27
Sugar cookie dough	13
Sugar for coating	0
Sugar for dusting	0
Sugar syrup	361
Sugarcane juice	1
sultanas	8
sumac	8825
Sun-drying	2
Sunflower lecithin	371
Sunflower oil	6994
Sunflower seeds	30313
Sushi rice	78
Sushi-grade fish	0
Swede	1249
Sweet and tangy sauce	0
Sweet bean sauce	0
sweet bread roll	0
Sweet corn	896
Sweet corn kernels	0
Sweet paprika	3
Sweet pepper	75
Sweet pickle relish	32
sweet potato	39566
Sweet potato noodles	27
Sweet potato starch	6
Sweet potato starch noodles	3
sweet potatoes	47180
Sweet red bean paste	2
Sweet rice	54
Sweet rice flour	3
sweet sauce	40
Sweet soy sauce	4
sweet syrup	51
Sweetbreads	3191
Sweetened beans	2
sweetened condensed milk	509
Sweetened flaked coconut	0
Sweetened fruits	5
Sweetened shredded coconut	13
Sweetener	21564
Sweeteners	52238
Swiss chard	12228
Swiss chard leaves	0
Swiss cheese	6660
Swordfish	11275
Syrup	207128
Tabasco sauce	198
Tabbouleh	405
Taco seasoning	533
Tahini	3556
Tajin seasoning	13
Takoyaki sauce	0
Tamagoyaki (Japanese rolled omelette)	0
Tamale	248
tamarind	2648
Tamarind candy	1
Tamarind chutney	1
Tamarind extract	2
tamarind juice	5
Tamarind paste	8
Tamarind pods	0
Tamarind pulp	1
Tapioca	6323
Tapioca Dextrin	7
Tapioca flour	49
Tapioca leaves	0
Tapioca pearls	14
Tapioca starch	101
Tarama (salted and cured roe of cod or carp)	0
Taramasalata	1
taro	2630
Taro leaves	2
Taro root	24
Taro roots	0
Tarragon	1124
Tartar sauce	3092
Tartaric acid	51
Tater tots	2517
Tau pok	0
Tau pok (fried tofu puffs)	0
Taurine	10206
TBHQ	32
Tea	489357
Tea leaves	2408
Teff flour	22
Tejocotes	0
Telur Balado	0
Tempe	3973
Tempeh	10357
Tempering (Oil, Mustard Seeds, Urad Dal, Chopped Ginger, Green Chilies, Curry Leaves)	0
Tempura	459
Tempura batter	5
Tempura scraps	0
Tenkasu	0
Tequila	3692
Terasi (shrimp paste)	0
Tertiary butylhydroquinone	1
Tetrasodium pyrophosphate	11
Texas toast	324
Thai basil	12
Thai bird's eye chilies	0
Thai chili peppers	2
Thai chilies	0
Thai eggplant	1
Thai holy basil	0
Thiamin	14657
Thiamin mononitrate	61
Thiamine	50608
Thiamine hydrochloride	91
Thiamine Mononitrate	550
Thickener	3262
Thin pastry dough	0
Thin sheets of dough	0
Thin wheat flour noodles	0
Thin wheat noodles	1
Thinly sliced beef	5
Thinly sliced vegetables	3
Thoran	4
Thousand Island dressing	329
thyme	7091
Thyme leaves	5
Time	2785827
Titanium Dioxide	36445
toast	176783
Toast bread	649
Toasted bread	1514
Toasted pecans	6
Toasted rice flour	0
Toasted sesame seeds	2
tobacco	1846490
Toffee	198
tofu	119864
Tofu dishes	24
Tofu puffs	0
Tofu skin	6
Tomate	337
Tomatillos	26
tomato	131607
Tomato concentrate	8
Tomato ketchup	94
tomato paste	6173
Tomato powder	15
Tomato puree	362
tomato sauce	18618
Tomato slices	1362
tomatoes	208294
Tonkatsu sauce	1
Toor dal	3
Toothpicks	3643
Toppings	19072
Toppings (such as beans, cheese, lettuce, salsa)	0
Toppings (such as herbs, olives, tomatoes)	0
Toppings (such as mochi, nuts, or cereal)	0
Toppings (such as poppy seeds, sesame seeds, or onions)	0
Toppings (such as poppy seeds, sesame seeds, salt)	0
Toppings (such as scallions, nori, tempura, etc.)	0
Toppings of choice	31
Torch ginger flower	0
Tortiglioni	0
Tortilla	51411
Tortilla chips	11377
Tortilla Española	0
Tortilla strips	146
Tortillas	53333
Tortoise shell	210
Tostitos chips	107
Treacle	66
Trenette	8
Tripe	439
Triple sec	13
Trisodium citrate	50
Truffle	428
Truffle butter	1
Truffle oil	24
Truffles	169
Tsukemen dipping sauce	0
Tteok (rice cakes)	0
Tucupi	0
Tuna	68742
Turkey	128865
Turkish delight	16
turmeric	40095
Turmeric leaves	0
Turmeric powder	143
Turnip	11929
Turnips	13270
Turtle meat	1
Typically mammals such as monkeys, bats, rodents, and antelopes	0
Tzatziki	701
Tzatziki sauce	445
Ubad	0
Ube	65513
Ube (purple yam)	0
Ube extract	0
Ube halaya	0
Ubod	0
Udon noodles	170
Ugba (oil bean seed)	0
Ukazi leaves	0
Ulam (herbs)	0
unripe green jackfruit	0
Unsalted butter	497
Unsweetened cocoa powder	76
Urad dal	2
Urad dal flour	0
Utazi leaves	0
Uziza leaves	0
Vanilla	46679
Vanilla bean	158
vanilla essence	5
vanilla extract	3449
Vanilla flavor	1835
vanilla frosting	38
Vanilla ice cream	3510
Vanilla pudding	2150
Vanilla pudding mix	1
Vanilla soft serve ice cream	7
Vanilla sugar	40
Vanilla wafer cookies	33
Vanilla wafers	1449
Vanillin	114
Various types of pickled vegetables	0
Veal	7951
Veal cutlets	8
Veal lungs	0
Veal or pork cutlets	1
Veal schnitzel	0
Veal shanks	0
Vegemite	126
Vegetable broth	80076
Vegetable dishes	458
Vegetable extract	65
Vegetable fat	69
Vegetable fats	402
Vegetable fats (palm, shea)	0
vegetable oil	21681
Vegetable Oil (Sunflower, Corn, and/or Canola Oil)	1
Vegetable oils	16459
Vegetable Oils (Palm, Coconut)	0
Vegetable oils (palm, palm kernel)	1
Vegetable oils (palm, sunflower)	0
vegetable or chicken broth	25
Vegetable shortening	557
Vegetable stock	44
vegetables	532905
Vegetables (bell peppers, bamboo shoots, eggplant)	0
Vegetables (bell peppers, onions, carrots, cabbage)	0
Vegetables (carrots, bell peppers, onions)	0
Vegetables (carrots, celery, onions)	2
Vegetables (carrots, leeks, celery)	0
Vegetables (e.g. lettuce, tomatoes, onions)	0
Vegetables (optional)	854
Vegetables (such as beans, carrots, cabbage, or potatoes)	0
Vegetables (such as bell peppers, bamboo shoots, and eggplant)	0
Vegetables (such as bell peppers, onions, and tomatoes)	0
Vegetables (such as bell peppers, peas, and carrots)	0
Vegetables (such as bell peppers, peas, carrots)	0
Vegetables (such as bok choy or spinach)	0
Vegetables (such as bok choy, cabbage, or spinach)	0
Vegetables (such as bok choy, carrots, and mushrooms)	0
Vegetables (such as cabbage, carrots, and bean sprouts)	0
Vegetables (such as cabbage, carrots, and mushrooms)	0
Vegetables (such as cabbage, carrots, bell peppers)	0
Vegetables (such as cabbage, carrots, long beans)	0
Vegetables (such as carrots, cabbage, and snow peas)	0
Vegetables (such as carrots, cabbage, and spinach)	0
Vegetables (such as carrots, peas, and cabbage)	0
Vegetables (such as carrots, peas, and green onions)	0
Vegetables (such as cucumber, avocado, or carrot)	0
Vegetables (such as drumsticks, okra, eggplant, carrots)	0
Vegetables (such as kale, endive, or sauerkraut)	0
Vegetables (such as napa cabbage, mushrooms, and green onions)	0
Vegetables (such as onions, potatoes, spinach)	0
Vegetables (such as potatoes, eggplant, or okra)	0
Vegetables (such as spinach, bean sprouts, carrots, zucchini)	0
Vegetables (such as squash, string beans, or spinach)	0
Vegetables (usually spinach, bean sprouts, and cabbage)	0
Vegetables or seafood	10
Vegetarian oyster sauce	0
Venison	4339
Vermicelli	36
Vermicelli noodles	7
Vienna sausages	167
Vietnamese coriander	0
Vietnamese mint	0
Vietnamese sausage	1
Viili culture	0
Vinaigrette dressing	7701
vinegar	100541
Vinegar or lemon juice	68
Vital wheat gluten	32
Vitamin A palmitate	1560
Vitamin B1	20548
Vitamin B2	16130
Vitamin B6	44263
Vitamin B12	189899
Vitamin C	240680
Vitamin D	651059
Vitamin D3	409873
Vitamin E acetate	7808
Vitamin K1	34107
Vitamins	551359
Vitamins (B3, B9, B12)	0
Vitamins A and D	458
Vitamins and minerals	33338
Vodka	23948
Wafer	17128
Wafer biscuits	1
Wafer cookies	191
Wafer shells	0
Wafers	9836
Waffle batter	40
Waffle cone	86
Waffle iron	103
Waffles	18213
Wakame seaweed	2
Walnut	33997
walnuts	52077
Warm water	213002
Wasabi	376
Wasabi aioli	0
water	1376161
Water chestnut flour	1
Water chestnuts	2751
Water dropwort	0
Water spinach	52
Waterblommetjies	0
Watercress	11673
Waterleaf	19
Watermelon	56807
whale meat	1
Wheat	222049
Wheat berries	193
Wheat bran	13307
Wheat farina	21
wheat flour	3159
Wheat germ	9164
Wheat gluten	1894
Wheat noodles	559
Wheat starch	3038
Whey	15920
Whey powder	429
Whey powder (from milk)	0
Whey powder (milk)	10
Whey Protein	8259
Whey Protein Concentrate	225
Whey Solids (Milk)	0
whipped cream	4960
Whipped topping	1073
Whipping cream	5488
whiskey	16499
Whisky	3734
Whisky cream sauce	0
White beans	23838
White bread	41579
white cake mix	1
White cheddar cheese	98
White chocolate	503
White chocolate chips	29
